epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.40380680561065674,1.5797114372253418,0.005,0.5177083611488342,1.2648189067840576
1,0.5158522725105286,1.2437565326690674,0.005,0.573437511920929,1.1727544069290161
2,0.5798863768577576,1.1387712955474854,0.005,0.643750011920929,1.0479439496994019
3,0.6272159218788147,1.0670576095581055,0.005,0.653124988079071,1.0105189085006714
4,0.6536931991577148,1.0115725994110107,0.005,0.6651041507720947,1.0150119066238403
5,0.6910795569419861,0.9109194278717041,0.0025,0.6796875,0.9563128352165222
6,0.7055113911628723,0.8720703721046448,0.0025,0.7104166746139526,0.9171088933944702
7,0.715681791305542,0.8538268208503723,0.0025,0.7010416388511658,0.929009735584259
8,0.7440909147262573,0.7862541675567627,0.00125,0.7135416865348816,0.8920319080352783
9,0.7501136660575867,0.7573267817497253,0.00125,0.7010416388511658,0.8970212936401367
10,0.7661932110786438,0.7118707895278931,0.000625,0.7197916507720947,0.8819008469581604
11,0.7735227346420288,0.6965912580490112,0.000625,0.715624988079071,0.8773669600486755
12,0.7802272439002991,0.6852556467056274,0.000625,0.721875011920929,0.8733610510826111
13,0.7825568318367004,0.6760266423225403,0.000625,0.7197916507720947,0.8901950120925903
14,0.7929545640945435,0.64984530210495,0.0003125,0.7244791388511658,0.8806423544883728
15,0.8015909194946289,0.6283139586448669,0.00015625,0.7265625,0.8761458992958069
16,0.8070454597473145,0.6191494464874268,7.8125e-05,0.7255208492279053,0.8738999962806702
17,0.8068749904632568,0.6090197563171387,3.90625e-05,0.7281249761581421,0.8761292695999146
18,0.8031250238418579,0.6204941868782043,1.953125e-05,0.7286458611488342,0.8773502707481384
19,0.8081818222999573,0.6109233498573303,9.765625e-06,0.729687511920929,0.8765442967414856
20,0.808863639831543,0.6116694211959839,4.8828124e-06,0.7286458611488342,0.8765535950660706
21,0.8081818222999573,0.6082226037979126,2.4414062e-06,0.7286458611488342,0.8764286041259766
22,0.8096022605895996,0.6096415519714355,1.2207031e-06,0.7281249761581421,0.8764809370040894
23,0.8060227036476135,0.6127554178237915,6.1035155e-07,0.7276041507720947,0.8764563202857971
24,0.8092045187950134,0.607719361782074,3.0517577e-07,0.7276041507720947,0.8764393329620361
25,0.8061363697052002,0.6148774027824402,1.5258789e-07,0.7276041507720947,0.8764658570289612
26,0.8083522915840149,0.6087808012962341,7.6293944e-08,0.7276041507720947,0.876473069190979
27,0.8081818222999573,0.6103781461715698,3.8146972e-08,0.7276041507720947,0.8764693737030029
28,0.8065909147262573,0.6165429353713989,1.9073486e-08,0.7276041507720947,0.876457929611206
29,0.8087499737739563,0.6076308488845825,1e-08,0.7276041507720947,0.8764476180076599
